,alpha,alpha_compound,alpha_weighted,alpha_weighted_compound,lognorm,lognorm_compound
preresnet34,3.4041333321171106,3.412593462312295,-0.3191590902796582,-0.043311482501671085,0.5952599048614502,0.6397197159168161
preresnet50,3.7168368455516183,4.436295184627306,1.1116970774036505,2.719388172442324,0.7838233113288879,0.9982153959494218
preresnet50b,3.5413497307819903,4.443380773589715,0.233046532079416,1.562436173468603,0.6342519521713257,0.8445857459644102
preresnet101,3.5297942277771286,3.8688263809162007,0.07676892022385333,1.513610298715129,0.6774793863296509,0.8882992158397142
preresnet101b,3.1880093874426403,3.5139514651317367,-0.7536833892569506,0.3669601747638136,0.496624618768692,0.7088377123109552
preresnet152,3.2636123276039952,3.7319339266328218,-0.2425256735740392,1.0811584364678164,0.6014074087142944,0.8107067497827674
preresnet152b,3.100525611453376,3.3084598351192374,-1.3678046945011428,-0.27915489182536807,0.3901159465312958,0.6046430193395169
preresnet200b,2.542968097373834,2.6209468721963356,-1.1241696978129787,-0.3749975349866126,0.28292351961135864,0.48633919873152015
preresnet269b,3.4695187669718495,3.751648605881403,-2.396880046600853,-1.3573519423971045,0.2784945070743561,0.4716467868560226
resnext101_32x4d,4.430921566875173,4.430921566875173,1.2247424886817242,1.2247424886817242,0.9072672724723816,0.9072673967186834
resnext101_64x4d,3.7622630071048535,3.7622630071048535,1.3415304026094037,1.3415304026094037,0.944003701210022,0.9440037599751647
seresnet50,3.415749448126125,3.644559540333144,-0.3455393902940336,0.9831305638288826,0.5559691786766052,0.7294333881708751
seresnet101,2.944686892298174,2.7656065783568646,-1.2372221786884614,-0.45303815334152475,0.3261770009994507,0.29185719805984545
seresnet152,2.6550742628546717,2.423637241389778,-1.534608722650317,-1.1090532346431161,0.1918717473745346,0.049521655541776684
seresnext50_32x4d,3.0213717095718504,3.0213717095718504,1.8068560103729396,1.8068560103729396,0.8367999792098999,0.8367999229580164
seresnext101_32x4d,2.7973265506610963,2.7973265506610963,0.7587444172905138,0.7587444172905138,0.4655066132545471,0.4655065983382425
senet154,2.7252040850990094,2.588158552578733,-0.13930476927150048,-0.1801750150686059,0.2545723021030426,0.16154144906079504
ibn_resnet50,3.5676859974309867,4.006599444419803,-0.1483602031395927,1.1862158402780016,0.5983907580375671,0.8090998227834951
ibn_resnet101,3.386685175359594,3.6396801469894644,-1.0624091161568352,0.16353640503201758,0.4823392927646637,0.696483133707502
ibnb_resnet50,3.495726757470984,3.8948618971235294,-0.1767469093594981,1.1137163517147866,0.6006367802619934,0.8100444143267048
ibn_resnext101_32x4d,4.033033484460763,4.033033484460763,1.2197269748156891,1.2197269748156891,0.9100248217582703,0.9100248184002621
ibn_densenet121,3.932324522714553,3.932324522714553,1.0399142969404025,1.0399142969404025,0.7980379462242126,0.7980378827741069
ibn_densenet169,4.070611798272173,4.070611798272173,0.6153754054384543,0.6153754054384543,0.7463780641555786,0.7463780419771061
airnet50_1x64d_r2,3.3089532965261954,3.801666567753534,-0.5094574998071391,0.6145004924673729,0.4931803345680237,0.7011675458568757
airnet50_1x64d_r16,3.676712856954699,4.37111249285,-0.16607034643818483,1.1922350291411334,0.6020114421844482,0.8113336546865899
airnext50_32x4d_r2,3.5316291257337005,3.5316291257337005,1.3427294127684042,1.3427294127684042,0.8480855822563171,0.8480856186252529
bam_resnet50,3.1137029025655356,3.5604532897359746,-0.07748166215488826,1.0929069188072458,0.5368421673774719,0.7730629281934808
cbam_resnet50,3.667390953959824,3.777999133488277,-0.1867867075356195,1.1949898328516764,0.5992562174797058,0.7766410576905443
pyramidnet101_a360,3.7982273751068534,4.670499304123504,-0.9755687300722781,0.009508220719684504,0.5255295634269714,0.7070869315829542
diracnet18v2,2.9053827190207473,2.930577937388133,1.4470523465469105,1.664773697246853,0.7453283667564392,0.7913482987559309
diracnet34v2,2.6873635220277654,2.708124791684117,0.5333312693989989,0.668570121220937,0.6208723783493042,0.6474702051944202
densenet121,4.275521609411718,4.275521609411718,1.2487081287267905,1.2487081287267905,0.8065106868743896,0.8065106219822361
densenet161,3.645922581903666,3.645922581903666,0.8381950789827047,0.8381950789827047,0.7515603303909302,0.7515603053133663
densenet169,4.3083908249776215,4.3083908249776215,0.6786168496670714,0.6786168496670714,0.7411841154098511,0.7411841008552286
densenet201,4.14096218555898,4.14096218555898,0.5016682048026553,0.5016682048026553,0.7188484072685242,0.7188483897377463
condensenet74_c4_g4,4.454206436036999,4.80635584414236,-1.8320245034987679,0.1769847409188893,0.4371076822280884,0.7137784250561889
condensenet74_c8_g8,4.877957511955805,5.522607243248374,-1.6294428275190247,0.8802586058186752,0.4875507652759552,0.8088092983320907
peleenet,4.4491710926761385,4.4491710926761385,2.205776163529042,2.205776163529042,0.8914621472358704,0.8914621616854812
wrn50_2,3.3441432249941934,3.839714593332735,2.2752039654084832,4.25420288439097,0.9497291445732117,1.1734032332897188
drnc26,3.7893241794004577,3.8229869068343207,-0.15351051040942418,0.42480842120687606,0.6479054689407349,0.7207320608954499
drnc42,3.431488575166601,3.4643134308935033,-0.44439673115689693,-0.07357576221111263,0.5843653082847595,0.6367977711974386
drnc58,3.3260926899455945,3.7518896184193986,-0.2156592239164067,0.8177552601270713,0.5880719423294067,0.7633658402947463
drnd22,3.6691530905864838,3.649111095349658,0.04304026644077611,0.598278488459612,0.664513349533081,0.7428048856201626
drnd38,3.450101555112405,3.4716843811603577,-0.7344038118427448,-0.3570764411427912,0.5452130436897278,0.6012303984021998
drnd54,3.3042909153159092,3.825052513126993,-0.271493583619681,0.9223151791136072,0.5868771076202393,0.7813303763948896
drnd105,3.010186423752556,3.3605616816286976,-0.8052089520492337,0.0789523505099527,0.4511142671108246,0.6462449740347826
dpn68,4.414943459457342,4.414943459457342,0.5671191701845176,0.5671191701845176,0.805758535861969,0.8057585041573707
dpn98,3.737141638003314,3.737141638003314,0.10859650666572018,0.10859650666572018,0.75714111328125,0.7571411715901416
dpn131,3.415383819116545,3.415383819116545,-0.12574113403695997,-0.12574113403695997,0.6852536201477051,0.6852536610849611
darknet_ref,3.2121677259741954,3.158230075312451,3.1255017298918695,3.70185471815171,1.090576171875,1.2305514468087089
darknet_tiny,3.619412513863115,4.106371187692707,3.178256380684267,4.984885795852473,1.0226106643676758,1.2481457226806218
darknet53,3.6205129120775177,4.110773745766519,-0.9106600725497812,0.1670031624000501,0.5450451374053955,0.679915706384209
dla34,3.3424148354888583,4.068498492072662,-0.17789573631604386,0.7576248249713436,0.5688542127609253,0.7035423563887374
dla46c,3.992953080567329,4.76178876125983,0.5780723359054277,2.338519740561053,0.644443690776825,0.8682107025213202
dla46xc,4.738997767681399,4.738997767681399,2.7333492386752116,2.7333492386752116,0.9029943943023682,0.9029943700879812
dla60,3.0603728170642226,4.02902884994061,-0.07202562146151903,0.9936355508492813,0.5545844435691833,0.7666062064146143
dla60x,4.232933929002768,4.232933929002768,1.7796510292346441,1.7796510292346441,0.9515454769134521,0.9515454491903615
dla60xc,5.08177198437367,5.08177198437367,2.325838525173341,2.325838525173341,0.8667576909065247,0.8667577065172649
dla102,2.862921218311443,3.2611276948318824,-0.5630507429507301,0.249263296108314,0.48332417011260986,0.6616298350133104
dla102x,3.7960240751469345,3.7960240751469345,0.8768235210348017,0.8768235210348017,0.8218396306037903,0.8218396273377824
dla102x2,3.4850950278579425,3.4850950278579425,0.8980200216437804,0.8980200216437804,0.8320404887199402,0.8320404913735716
dla169,2.763385270913781,3.016053348081289,-0.9387330950735829,-0.2265193539411879,0.3946313261985779,0.5653500382831149
fishnet150,3.199369732121101,3.5317131989960817,-1.6655233861029137,-0.44198503344423956,0.3064936697483063,0.5333376609592051
espnetv2_wd2,4.69848271418547,4.69848271418547,4.694886666055712,4.694886666055712,1.1612834930419922,1.1612833961844444
espnetv2_w1,5.781020968648075,5.781020968648075,4.063308535230205,4.063308535230205,1.0242063999176025,1.024206427236398
espnetv2_w5d4,5.41079489656092,5.41079489656092,3.8865097257055528,3.8865097257055528,1.0601171255111694,1.0601171851158142
espnetv2_w3d2,5.18610051439898,5.18610051439898,3.782778858403992,3.782778858403992,1.086260199546814,1.0862601324915886
